Message_Delay_Rate,Average_Process_Time,Range_Process_Time,StandardDeviation_Process_Time,Average_Elapsed_Time,Range_Elapsed_Time,StandardDeviation_ElapsedTime,Correctness,Timeout
0,0.06497539999999999,0.019578000000000005,0.008275915163895775,0.017051988816820084,0.003887203987687826,0.0016235046101535251,True,False
0.08,0.0161774,0.00487999999999999,0.001736740855741002,0.0892301047919318,0.0014864630065858364,0.0006870222861073497,True,False
0.16,0.01604,0.002725,0.0011172369936589092,0.1697385485866107,0.0009616229799576104,0.00035201966466593104,True,False
0.24,0.015307199999999998,0.003323999999999997,0.0013741952917980757,0.2495535958209075,0.0007355330162681639,0.00032059563287106465,True,False
0.32,0.0159272,0.0031420000000000024,0.0013357590351556685,0.3294456126051955,0.0013479850022122264,0.0005077267702889902,True,False
Message_Delay_Rate,Average_Process_Time,Range_Process_Time,StandardDeviation_Process_Time,Average_Elapsed_Time,Range_Elapsed_Time,StandardDeviation_ElapsedTime,Correctness,Timeout
0,0.0615104,0.02516800000000001,0.011009808572359468,0.015770177997183055,0.0048121719737537205,0.00172058287419059,True,False
0.08,0.015440399999999998,0.0037949999999999998,0.0013608913623063374,0.08895654880907386,0.0031119680497795343,0.0012105390269525522,True,False
0.16,0.014202999999999999,0.003285999999999999,0.0012992039870628475,0.16850972680840642,0.0034439150476828218,0.0012973910165866738,True,False
0.24,0.015547799999999999,0.003773999999999998,0.0016714715672125552,0.24979907639790327,0.0017092039925046265,0.000661497581430031,True,False
0.32,0.0158664,0.0022369999999999994,0.0008724599131192215,0.329582233808469,0.0008163760066963732,0.000345287845052935,True,False
0.4,0.0165784,0.004022000000000005,0.0015619708063853196,0.4098525352077559,0.001925211981870234,0.0007486915758926899,True,False
0.48000000000000004,0.0158962,0.0036269999999999983,0.0013364971754553016,0.4900514963897876,0.0013134919572621584,0.000501524121501291,True,False
0.56,0.0161666,0.002596999999999995,0.0009928752691048344,0.5696702752145939,0.0016261409618891776,0.000626644606005121,True,False
0.64,0.014957799999999999,0.003667000000000007,0.001428202086540979,0.6492356530157849,0.0015676579205319285,0.0005996961761214678,True,False
0.72,0.0150108,0.003022000000000004,0.0012129491745328834,0.7292767171980813,0.00036669999826699495,0.00016188474920542675,True,False
0.7999999999999999,0.0152146,0.0026750000000000003,0.0012051030246414624,0.8093437656061724,0.00013170501915737987,6.671978563380779e-05,True,False
