Loss_Rate,Average_Process_Time,Range_Process_Time,StandardDeviation_Process_Time,Average_Elapsed_Time,Range_Elapsed_Time,StandardDeviation_ElapsedTime,Correctness,Timeout
0,13.173005499999999,54.31651599999999,21.84305080504913,2.426438627613243,10.007384547963738,4.052788124601147,True,True
0.04,1.560301,12.830276999999999,3.9912132215529263,0.2751056497974787,2.2219590190215968,0.6912411985784167,True,False
0.08,0.19649429999999998,0.40500099999999994,0.14825064613990724,0.03889167940942571,0.06928356899879873,0.025555663426544497,True,False
0.12,1.0475737,8.084145,2.5075560489739828,0.187233883299632,1.4068869010079652,0.4363278039899869,True,False
0.16,1.3982335,6.529795,2.490348001869317,0.2510678697086405,1.15159558103187,0.4358575180701807,True,False
0.2,1.0991689,6.822191999999999,2.1477961369131875,0.19829554010066203,1.2184818670502864,0.3829432442309177,True,False
0.24000000000000002,0.3721064,1.6345709999999998,0.501127959732442,0.07042878909269348,0.27658077591331676,0.08491704501469159,True,False
0.28,3.9900577999999998,16.631777,5.976413379026603,0.7238274477072991,3.043910598033108,1.080080431973175,True,False
0.32,5.9323641,24.004571,8.450263722168614,1.0972264130949043,4.592823762039188,1.5808787172382854,True,False
0.36,16.2102478,56.794182000000006,22.456181916288326,2.891880578995915,10.0093184899888,3.9659317824447795,True,True
0.39999999999999997,2.0460566,10.299927,3.183387343051675,0.39103367310017345,1.9166345280827954,0.5894496060036118,True,False
0.43999999999999995,3.1858625,18.355293,5.5832579434338685,0.5988523906038609,3.428166455938481,1.0422078266273065,True,False
0.4799999999999999,3.0977311999999997,22.381919,6.979813603288777,0.5635022120957729,4.039610200969037,1.2598652378769974,True,False
0.5199999999999999,4.5515112,21.060061,6.773986601252172,0.8249236770090647,3.8122101860353723,1.2129541082400666,True,False
0.5599999999999999,4.1358083,14.643251999999999,5.138550451323322,0.7212100719858426,2.5223771109594963,0.8870126439991042,True,False
0.6,2.0246885,13.27084,4.070298577552846,0.37019194890744983,2.3207367450231686,0.7076182272909987,True,False
0.64,1.5304724,5.348553000000001,1.9373952997131199,0.303184575290652,1.0022949980339035,0.3488956867207811,True,False
0.68,2.6045586999999997,12.995219999999998,4.058492034969092,0.5175176821183414,2.3558381060138345,0.7220240337580367,True,False
0.7200000000000001,0.8759914,1.3642910000000001,0.5396783030417699,0.1662683317088522,0.25691722001647577,0.10131713345649522,True,False
0.7600000000000001,3.4951051,16.843626,5.449374970301547,0.6281716225028504,2.935760844091419,0.9557236767933316,True,False
